SMR;43.7667;12.4167
SOM;10.0000;49.0000
SPM;46.8333;-56.3333
SRB;44.0000;21.0000
STP;1.0000;7.0000
SUR;4.0000;-56.0000
SVK;48.6667;19.5000
SVN;46.0000;15.0000
SWE;62.0000;15.0000
SWZ;-26.5000;31.5000
SYC;-4.5833;55.6667
SYR;35.0000;38.0000
TCA;21.7500;-71.5833
TCD;15.0000;19.0000
TGO;8.0000;1.1667
THA;15.0000;100.0000
TJK;39.0000;71.0000
TKL;-9.0000;-172.0000
TKM;40.0000;60.0000
TON;-20.0000;-175.0000
TTO;11.0000;-61.0000
TUN;34.0000;9.0000
TUR;39.0000;35.0000
TUV;-8.0000;178.0000
TWN;23.5000;121.0000
TZA;-6.0000;35.0000
UGA;1.0000;32.0000
UKR;49.0000;32.0000
UMI;19.2833;166.6000
URY;-33.0000;-56.0000
USA;38.0000;-97.0000
UZB;41.0000;64.0000
VAT;41.9000;12.4500
VCT;13.2500;-61.2000
VEN;8.0000;-66.0000
VGB;18.5000;-64.5000
VIR;18.3333;-64.8333
VNM;16.0000;106.0000
VUT;-16.0000;167.0000
WLF;-13.3000;-176.2000
WSM;-13.5833;-172.3333
YEM;15.0000;48.0000
ZAF;-29.0000;24.0000
ZMB;-15.0000;30.0000
ZWE;-20.0000;30.0000
